,code,content_code,user_code,text,watched_at,likes_count,replies_count,spoiler,improper,replyable,created_at,user.code,user.name,user.photo.original,user.photo.large,user.photo.small,user.watcha_play_user,user.official_user,user_content_action.rating,user_content_action.status,user_content_action.mehed,user_content_action.watched_at,user_content_action.user_code,user_content_action.content_code
0,POkEw9BNGAMql,mWqJYmB,Qgy51rmX7xDjk,평이한 이야기에 묻힌 흥미로운 설정.,,153,3,False,False,True,2020-01-08T12:56:28+09:00,Qgy51rmX7xDjk,이건영(everyhuman),https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1567697213/crbve0lnywirynxlt36v.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1567697213/crbve0lnywirynxlt36v.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1567697213/crbve0lnywirynxlt36v.jpg",True,False,5.0,,False,,Qgy51rmX7xDjk,mWqJYmB
1,W4zQrLBje52w1,mWqJYmB,2mwvg71E9vMa7,"제 아무리 '어른이'더라도 
밖에서 해피밀 세트를 시켜먹기가 민망하다면 
그냥 집에서 요기요로 vod세트 주문해 드세요 ^^;;
.
.
.
ps. 프로토타입 모델을 보는 것만 같이 빈약한 스토리가 아쉽습니다. 영화의 완성도에 심혈을 기울이기 보단, 클라이언트에게 자사의 우수한 기술력을 어필하기 위해서 견본으로 제작된 영화인것만 같아요. 
.
ps. 물론 성인의 눈높이 때문일지도 몰라요. 
스스로를 어른이라 말하지만, 초등학생 수준의 동심으로 되돌릴수 없는 나이대니깐요...ㅠ
 (굳이 권장할 수 있는 연령대를 따져보자면, 중학생이 마지노선으로 보입니다.애니멀 애호가라면 고2까지도 가능할것 같고요.)
.
ps. 만약 저와같이 어른이의 심정으로 극장에서 보시려는 분들이 계신다면, 동심의 폭을 '해리포터'나 '나니아 연대기'보다 더 낮춰서 '레고 더 무비'까지 갈 마음가짐이 되셔야 할겁니다. 안그럼 'ADHD'에 걸릴것 같아요...(보신분들 공감하실겁니다 ^^;;)
.
ps.그게 아니라면... '캣츠'에 경악한 분들에게는 나름 힐링영화로 생각하며 보실수 있을거예요. 코X콜라 북극곰과 세익스피어 다람쥐가 넘나 귀여웠거든요. 불쾌한 골짜기의 수렁속에 빠진 분들이라면 귀요미 동물들이 던지는 구원의 밧줄에 엄마 아빠미소로 훈훈하게 미소짓게 만들어요.
.
ps. 쿠키 초반부에 한개 있습니다.",,131,9,False,False,True,2020-01-08T17:30:24+09:00,2mwvg71E9vMa7,영화고독발버둥치며본다,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1534520356/mkjr2bpymxagmieurpvp.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1534520356/mkjr2bpymxagmieurpvp.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1534520356/mkjr2bpymxagmieurpvp.jpg",True,False,5.0,,False,,2mwvg71E9vMa7,mWqJYmB
2,5yz2YlPyVxEWj,mWqJYmB,7gdxdbL6RvGYJ,"관람전: 지금까지 이런 캐스팅은 없었다. 실화라고 믿겨지지 않는 역대급 캐스팅. 동시에 감독과 영화에게 거는 기대치 또한 장난아닐것 같은 영화. 할리우드에서 날고 뛰는 배우들이 집합 되어있는 영화이니 망친다면 가만두지 않을 것입니다, 감독님.
관람후: 아 젠장",,89,3,False,False,True,2019-05-12T18:31:04+09:00,7gdxdbL6RvGYJ,skm,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1598176850/thyxtza6kyphl7r4ezi1.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1598176850/thyxtza6kyphl7r4ezi1.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1598176850/thyxtza6kyphl7r4ezi1.jpg",False,False,3.0,,False,,7gdxdbL6RvGYJ,mWqJYmB
3,8n92VyL34KEAJ,mWqJYmB,a9L5Ple6N5wg8,"긴박함이나 의외성, 웃음포인트가 턱없이 부족하다.
단지 어린이 영화를 어른의 시선으로 판단하는 건 
좀 반칙 같기도 해서 내가 유아다 감정이입해 보자면
굉장히 유아용 동화처럼 아기자기하다. 
(유아용 동화처럼 뻔하고 스무스하다는 말이기도 하다.)",,86,0,False,False,True,2020-01-10T22:02:48+09:00,a9L5Ple6N5wg8,JJ,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1549259751/a3gcw234fl9aje4nzzy1.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1549259751/a3gcw234fl9aje4nzzy1.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1549259751/a3gcw234fl9aje4nzzy1.jpg",False,False,6.0,,False,,a9L5Ple6N5wg8,mWqJYmB
4,5yz2Ylo3L8EWj,mWqJYmB,VRZv4zNNPxr6y,"생각보다 빠른 진행에, 조금 더 길더라도 여유있게 만들지..하는생각을 했다.
""그들은 그들만의 언어로 서로를 이해하고 있어!""
두리틀과 그들에게 소통을 배우는 소년의 넓어지는 세계
영화 제작자가 아내이고 가족영화를 선보이며, 3000만큼 사랑해 라고 외치던 딸에게 보여주고 싶은 환상과 모험과 이해의 세계를, 모든 사람에게 공유한다. 
로다쥬, 마이클 쉰, 반데라스! 쟁쟁한 배우들의 생각보다 따뜻한(?)모습들이 기분 좋게 다가오는 영화다. 악도 미워할 수 없고, 천방지축도 미워할 수 없다. 하나빼고!! ㅋ
#20.2.22 (415)",2020-02-22T13:34:08+09:00,76,4,False,False,True,2020-02-22T13:32:29+09:00,VRZv4zNNPxr6y,다솜땅,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1588774731/jlnqgg9r1raoushcsrfc.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1588774731/jlnqgg9r1raoushcsrfc.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1588774731/jlnqgg9r1raoushcsrfc.jpg",False,False,7.0,,False,2020-02-22T13:34:08+09:00,VRZv4zNNPxr6y,mWqJYmB
5,3kNEp6BLP0MOg,mWqJYmB,VRZv482M1vr6y,가족영화로서는 나름 좋다.,2020-01-08T19:42:35+09:00,75,0,False,False,True,2020-01-08T22:30:56+09:00,VRZv482M1vr6y,김병우,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1518594709/ymnxtjegaki1kcjiswsb.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1518594709/ymnxtjegaki1kcjiswsb.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1518594709/ymnxtjegaki1kcjiswsb.jpg",False,False,6.0,,False,2020-01-08T19:42:35+09:00,VRZv482M1vr6y,mWqJYmB
6,8n92VyLb8eEAJ,mWqJYmB,WwRqoRDNyxlzB,과일 같은 거 '와~ 맛있겠다' 껍질 까서 먹었는데 그냥 그럴 때 느낌.,,68,1,False,False,True,2020-01-08T18:35:07+09:00,WwRqoRDNyxlzB,진면목,,https://images.watcha.net/user/1691893/large/2437530cdd854673ce0a12ea5b86aa3f1f8d02c4.png,https://images.watcha.net/user/1691893/small/2437530cdd854673ce0a12ea5b86aa3f1f8d02c4.png,True,False,6.0,,False,,WwRqoRDNyxlzB,mWqJYmB
7,PkvE6nbkWqEpg,mWqJYmB,YMKqm2p7lvloD,"Do little!
재치있고 위트있는 동물 등장인물의 사용으로
보는 내내 미소가 떠날 수 없다.
연기야 원래 잘하는 로다주의 케미와
대중들의 마음을 져버리기 힘든 동물들의 등장케미로
단 한순간도 재미를 놓치기 아쉽다.
그야말로 센스가 만들어낸 작품.
귀여운 코미디 판타지를 만끽하다.",,68,0,False,False,True,2020-01-08T13:35:43+09:00,YMKqm2p7lvloD,차지훈,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1596972552/hrjm6ixob4kn0u0dhakc.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1596972552/hrjm6ixob4kn0u0dhakc.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1596972552/hrjm6ixob4kn0u0dhakc.jpg",True,False,8.0,,False,,YMKqm2p7lvloD,mWqJYmB
8,6aLMP0vWYqMOw,mWqJYmB,yKZx37WjDx4dJ,90년대 모험영화.... 세련되지못함..,,63,0,False,False,True,2020-03-01T21:58:56+09:00,yKZx37WjDx4dJ,인생은 한편의 영화,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1566698568/nu3esznunsduiefxgyx8.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1566698568/nu3esznunsduiefxgyx8.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1566698568/nu3esznunsduiefxgyx8.jpg",True,False,4.0,,False,,yKZx37WjDx4dJ,mWqJYmB
9,nd3M3lDle5QNg,mWqJYmB,nkPvrb8wrvgar,"찍고싶은 거 다 찍을 수 있으신 분이 어쩌다...
아무리 아동용이라지만 엉성하고 퀴퀴하다.
Dolittle does little to win favors.",,63,1,False,False,True,2020-02-09T18:10:43+09:00,nkPvrb8wrvgar,Jay Oh,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1583633236/kw9yp7rnvqjni4vf3lsr.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1583633236/kw9yp7rnvqjni4vf3lsr.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1583633236/kw9yp7rnvqjni4vf3lsr.jpg",False,False,3.0,,False,,nkPvrb8wrvgar,mWqJYmB
